[배추] 시장별 1위 규격 (2017~ · 특등급)
   시장           포장           중량       비중     총물량(톤)
   서울가락         그물망      10.000      92%     965106
   광주각화         그물망      10.000      31%     136920
   광주서부         .        12.000      24%     127183
   서울강서         그물망      12.000      92%     116415
   인천삼산         그물망      10.000      88%      92381
   구리           그물망      10.000      98%      45689
   순천           그물망      10.000      69%      42144
   안산           그물망      10.000      58%      38119

[무] 시장별 1위 규격 (2017~ · 특등급)
   시장           포장           중량       비중     총물량(톤)
   서울가락         상자       20.000      69%    1353727
   서울강서         상자       20.000      61%     136679
   광주서부         파렛트      20.000      62%     123784
   광주각화         파렛트      20.000      67%     123100
   구리           상자       20.000      73%     107415
   인천삼산         상자       20.000      43%     107244
   대구북부         상자       20.000      69%      53395
   인천남촌         상자       20.000      36%      49930

[양파] 시장별 1위 규격 (2017~ · 특등급)
   시장           포장           중량       비중     총물량(톤)
   서울가락         그물망      15.000      52%    1726499
   대구북부         그물망      20.000      45%     252641
   구리           그물망      15.000      55%     228964
   광주각화         그물망      20.000      38%     110882
   광주서부         파렛트      20.000      29%      90057
   부산반여         그물망      20.000      56%      68230
   부산엄궁         그물망      20.000      92%      67938
   대전노은         파렛트      15.000      52%      51051
